name	acc	protein_type	start	end	exon_count	exon_starts	exon_ends	external_reference	reverse	stop_codons	frameshifts	gaps	percent_identity	left_unaligned	right_unaligned	align_data	classification_id	description
Charlie1_tp	DF0000018	tp	598	2538	1	[598]	[2538]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie2a_tp	DF0000019	tp	1455	2243	1	[1455]	[2243]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie3_tp	DF0000023	tp	625	2517	1	[625]	[2517]	None	False	0	0	0	100	0	0	None	95	[Simiiformes]
Charlie4_tp	DF0000024	tp	1310	3103	1	[1310]	[3103]	None	False	0	0	0	97.66	0	0	None	95	This is from the Charlie4_Longi consensus. The Charlie4 protein has 5 different AA, but there are too few copies to be sure that the differences are real.  [Eutheria]
Charlie5_tp	DF0000027	tp	571	2448	1	[571]	[2448]	None	False	1	0	0	98.72	1	0	None	95	[Eutheria]
Arthur1_tp	DF0000069	tp	1150	3708	1	[1150]	[3708]	None	False	0	0	0	100	0	0	None	86	[Eutheria]
Blackjack_tp	DF0000074	tp	760	2718	1	[760]	[2718]	None	False	0	0	0	100	0	0	None	82	[Eutheria]
Charlie10_tp	DF0000081	tp	431	2392	1	[431]	[2392]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie11_tp	DF0000084	tp	219	1991	1	[219]	[1991]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie13a_tp	DF0000086	tp	151	1269	1	[151]	[1269]	None	False	1	0	0	99.73	0	0	None	95	via tfasty with Charlie5_tp (fragment) [Mammalia]
Charlie24_tp	DF0000101	tp	346	2151	1	[346]	[2151]	None	False	0	0	0	100	0	0	None	95	[Theria mammalia]
Charlie25_tp	DF0000102	tp	384	2363	1	[384]	[2363]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie6_tp	DF0000105	tp	637	2556	1	[637]	[2556]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie8_tp	DF0000107	tp	393	2207	1	[393]	[2207]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Charlie9_tp	DF0000108	tp	550	2526	1	[550]	[2526]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
Cheshire_tp	DF0000109	tp	417	2219	1	[417]	[2219]	None	False	0	0	0	100	0	0	None	95	[Eutheria]
ERV24_Prim_env	DF0000115	env	5954	7351	1	[5954]	[7351]	None	False	0	0	0	100	0	0	None	260	[Primates]
ERV24_Prim_gag	DF0000115	gag	892	2217	1	[892]	[2217]	None	False	0	0	0	100	0	0	None	260	[Primates]
ERV24_Prim_pol	DF0000115	pol	2221	5919	1	[2221]	[5919]	None	False	0	0	0	100	0	0	None	260	[Primates]
ERVL47_gag	DF0000119	gag	351	1556	1	[351]	[1556]	None	False	0	0	0	100	0	0	None	281	[Primates]
ERVL47_pol	DF0000119	pol	1560	4952	1	[1560]	[4952]	None	False	0	0	0	100	0	0	None	281	[Primates]
ERVL-E_gag	DF0000120	gag	45	1721	1	[45]	[1721]	None	False	0	2	1	99.64	0	0	None	281	via tfasty with ERVL-B4_gag [Eutheria]
HAL1_gag	DF0000154	gag	1076	1996	1	[1076]	[1996]	None	False	0	0	0	100	0	0	None	262	[Eutheria]
HAL1b	DF0000155	unk	715	1683	1	[715]	[1683]	None	False	0	0	0	100	0	0	None	262	[Eutheria]
HAL1ME_gag	DF0000157	gag	881	1930	1	[881]	[1930]	None	False	0	0	0	100	0	0	None	262	[Eutheria]
HERV15_env	DF0000161	env	6534	8714	1	[6534]	[8714]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERV15_gag	DF0000161	gag	1384	2664	1	[1384]	[2664]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERV15_pol	DF0000161	pol	2707	6360	1	[2707]	[6360]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERV16_gag	DF0000162	gag	42	1779	1	[42]	[1779]	None	False	5	1	0	96.03	0	0	None	281	via tfasty with ERVL-B4_gag [Eutheria]
HERV1_env	DF0000163	env	6534	8765	1	[6534]	[8765]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERV1_gag	DF0000163	gag	870	2615	1	[870]	[2615]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERV1_pol	DF0000163	pol	2658	6305	1	[2658]	[6305]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERV3_env	DF0000169	env	6389	8368	1	[6389]	[8368]	None	False	3	5	4	98.78	0	0	None	260	via tfasty with HERVE_env [Catarrhini]
HERV3_gag	DF0000169	gag	723	2410	1	[723]	[2410]	None	False	1	1	1	98.93	0	0	None	260	via tfasty with GALV_gag [Catarrhini]
HERV3_pol	DF0000169	pol	2435	6053	1	[2435]	[6053]	None	False	2	3	1	99.25	0	0	None	260	via tfasty with CfERVF1_pol [Catarrhini]
HERV4_gag	DF0000172	gag	956	2506	1	[956]	[2506]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERV4_pol	DF0000172	pol	2591	6052	1	[2591]	[6052]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERV9_env	DF0000173	env	6716	8377	1	[6716]	[8377]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERV9_gag	DF0000173	gag	1287	2744	1	[1287]	[2744]	None	False	0	0	0	100	0	0	None	260	(HERV30 close) [Catarrhini]
HERV9_pol	DF0000173	pol	2748	6320	1	[2748]	[6320]	None	False	1	0	0	99.92	0	0	None	260	(HERV30 close) [Catarrhini]
HERVE_env	DF0000174	env	5738	7750	1	[5738]	[7750]	None	False	1	0	0	99.85	0	0	None	260	via tfasty with HERV3_env [Hominoidea]
HERVE_gag	DF0000174	gag	547	2162	1	[547]	[2162]	None	False	4	1	1	99.26	0	0	None	260	via tfasty with HERV3_gag [Hominoidea]
HERVE_pol	DF0000174	pol	2188	5712	1	[2188]	[5712]	None	False	4	4	2	99.66	0	0	None	260	via tfasty with HERV3_pol [Hominoidea]
HERVE_A_env	DF0000175	env	5698	7821	1	[5698]	[7821]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERVE_A_gag	DF0000175	gag	588	2144	1	[588]	[2144]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERVE_A_pol	DF0000175	pol	2148	5735	1	[2148]	[5735]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERV-Fc1_env	DF0000176	env	2857	4566	1	[2857]	[4566]	None	False	0	0	0	100	0	0	None	260	[Homininae]
HERV-Fc2_env	DF0000179	env	5396	7210	1	[5396]	[7210]	None	False	0	0	0	100	0	0	None	260	[Hominidae]
HERV-Fc2_gag	DF0000179	gag	366	1829	1	[366]	[1829]	None	False	1	0	0	99.8	0	0	None	260	via tfasty with MacERV5b_gag [Hominidae]
HERV-Fc2_pol	DF0000179	pol	1830	5523	1	[1830]	[5523]	None	False	1	1	0	99.92	0	0	None	260	via tfasty with HERVFH21_pol [Hominidae]
HERVFH19_env	DF0000181	env	5983	7665	1	[5983]	[7665]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERVFH19_gag	DF0000181	gag	601	2262	1	[601]	[2262]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERVFH19_pol	DF0000181	pol	2263	5877	1	[2263]	[5877]	None	False	1	0	0	99.92	0	0	None	260	[Simiiformes]
HERVH_env	DF0000183	env	5969	7710	1	[5969]	[7710]	None	False	9	1	1	98.45	0	0	None	260	via tfasty with HERV9_env [Catarrhini]
HERVH_gag	DF0000183	gag	854	2068	1	[854]	[2068]	None	False	6	2	1	98.51	0	0	None	260	via tfasty with HERVFH19_gag [Catarrhini]
HERVH_pol	DF0000183	pol	2079	5501	1	[2079]	[5501]	None	False	6	5	4	99.38	0	0	None	260	via tfasty with CfERVF1_pol [Catarrhini]
HERVH48_env	DF0000184	env	5816	6547	1	[5816]	[6547]	None	False	0	0	0	100	0	0	None	260	fragment [Catarrhini]
HERVH48_gag	DF0000184	gag	424	2255	1	[424]	[2255]	None	False	3	5	3	99.51	0	0	None	260	via tfasty with HERVFH19_gag [Catarrhini]
HERVH48_pol	DF0000184	pol	2271	5850	1	[2271]	[5850]	None	False	7	7	6	99.41	0	0	None	260	via tfasty with CfERVF2_pol [Catarrhini]
